Date,Time,Title,Buy-in Per Player,Platforms,Team Size,Tournament Type (Ex: Single Elimination),Players in Match,Number of Teams Registered,Series Type (Ex: Best of 3),Prize Pool,Profit
"February 2, 2023",4:32 AM,4v4 *DOLLAR ENTRY* 1ND HP,$1,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,10,Best of 1,$28,
"February 2, 2023",3:30 AM,2v2 1ND *VAZNEV ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,7,Best of 1,$40,
"February 2, 2023",3:02 AM,2v2 $100 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$100,
"February 2, 2023",2:00 AM,3v3 $30 chall,$30,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 3,$177,
"February 2, 2023",1:20 AM,1v1 $50 GTD NOV/AM 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,6,Best of 1,$50,
"February 2, 2023",12:27 AM,4v4 DOUBLE ELIM MWII SND,$6,"['xbox', 'playstation', 'battle.net']",4,double elimination,4v4,2,Best of 3,$68,
"February 1, 2023",11:50 PM,2v2 $100 GTD 1ND NOV/AM KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,14,Best of 1,$156,
"February 1, 2023",11:50 PM,3v3 $75 GTD CONSOLE 1ND SND,$7,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$60,
"February 1, 2023",11:27 PM,2v2 $50 GTD SND,$7,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 3,$50,
"February 1, 2023",10:28 PM,2v2 $50 GTD CONSOLE 1ND SND,$6,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$50,
"February 1, 2023",10:05 PM,2v2 $10 FE 1ND SND,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,19,Best of 1,$10,
"February 1, 2023",9:56 PM,3v3 1ND *NO SNIPES* SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$21,
"February 1, 2023",9:50 PM,1v1 $50 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,7,Best of 1,$50,
"February 1, 2023",9:10 PM,1v1 $20 GTD CONSOLE SND,$5,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,2,Best of 3,$10,
"February 1, 2023",8:52 PM,2v2 AR/SMG SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 3,$32,
"February 1, 2023",8:50 AM,1v1 1ND *SCAR ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,2,Best of 1,$9,
"February 1, 2023",8:27 AM,2v2 $40 GTD 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 1,$40,
"February 1, 2023",7:20 AM,3v3 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,1,Best of 1,$33,
"February 1, 2023",6:20 AM,2v2 $50 GTD 1ND *MERCADO ONLY* SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 1,$50,
"February 1, 2023",6:20 AM,2v2 CONSOLE 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$28,
"February 1, 2023",5:20 AM,3v3 $90 GTD 1ND *NO SNIPES* SND,$7.5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$90,
"February 1, 2023",4:33 AM,3v3 $100 GTD CONSOLE SND,$10,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,1,Best of 3,$60,
"February 1, 2023",4:22 AM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,6,Best of 1,$12,
"February 1, 2023",2:56 AM,2v2 $100 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 1,$100,
"February 1, 2023",2:27 AM,3v3 $60 GTD 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$60,
"February 9, 2023",11:51 PM,3v3 CONSOLE 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$27,
"February 9, 2023",11:25 PM,1v1 $50 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,4,Best of 1,$50,
"February 9, 2023",11:15 PM,2v2 $10 FE 1ND SND,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,14,Best of 1,$10,
"February 9, 2023",10:25 PM,2v2 CONSOLE 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$24,
"February 9, 2023",10:23 PM,2v2 $50 GTD SND,$7,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 3,$50,
"February 9, 2023",10:00 PM,2v2 $20 FE 1ND KILL RACE,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,11,Best of 1,$20,
"February 9, 2023",9:30 PM,1v1 $50 GTD NOV/AM 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,7,Best of 1,$50,
"February 9, 2023",9:07 PM,2v2 *VAZNEV ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 3,$28,
"February 9, 2023",7:55 PM,2v2 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$22,
"February 9, 2023",8:50 AM,1v1 *SCAR ONLY* 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,2,Best of 1,$7,
"February 9, 2023",8:27 AM,2v2 $40 *VAZNEV ONLY* 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 1,$40,
"February 9, 2023",6:24 AM,2v2 CONSOLE 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 1,$18,
"February 9, 2023",6:23 AM,2v2 $50 GTD 1ND SND,$6,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$50,
"February 9, 2023",5:23 AM,3v3 $90 GTD 1ND SND,$7.5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,4,Best of 1,$90,
"February 9, 2023",4:23 AM,2v2 AR/SMG SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 3,$34,
"February 9, 2023",3:30 AM,2v2 $100 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 1,$100,
"February 9, 2023",3:20 AM,4v4 *DOLLAR ENTRY* 1ND HP,$1,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,9,Best of 1,$28,
"February 9, 2023",2:00 AM,1v1 $50 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,4,Best of 1,$50,
"February 9, 2023",12:55 AM,3v3 $60 GTD 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,6,Best of 1,$60,
"February 9, 2023",12:25 AM,4v4 *NO 2023 WINNERS* VARIANT,$6,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,2,Best of 3,$44,
"February 8, 2023",11:50 PM,2v2 $100 GTD 1ND NOV/AM KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,7,Best of 1,$100,
"February 8, 2023",10:50 PM,1v1 $50 GTD NOV/AM 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,9,Best of 1,$56,
"February 8, 2023",10:20 PM,3v3 *NO SNIPES* SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 3,$27,
"February 8, 2023",10:20 PM,2v2 CONSOLE 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 1,$32,
"February 8, 2023",9:25 PM,2v2 $100 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,7,Best of 1,$100,
"February 8, 2023",9:15 PM,4v4 $50 FE HYPED ESPORTS SND,$0,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,19,Best of 3,$48,
"February 8, 2023",8:50 PM,1v1 $20 GTD CONSOLE SND,$5,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,3,Best of 3,$20,
"February 8, 2023",8:35 PM,2v2 $50 GTD AR/SMG SND,$7,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 3,$50,
"February 8, 2023",7:02 PM,2v2 *VAZNEV ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 3,$18,
"February 8, 2023",6:05 PM,$1200 GTD WARSZ WEDNESDAY KILL RACE,$20,"['xbox', 'playstation', 'battle.net']",2,double elimination,2v2,38,Best of 3,$1000,
"February 8, 2023",8:50 AM,1v1 1ND *VAZNEV ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,2,Best of 1,$7,
"February 8, 2023",8:20 AM,1v1 CONSOLE 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,2,Best of 1,$7,
"February 8, 2023",8:20 AM,2v2 $40 GTD 1ND AR/SMG SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,7,Best of 1,$50,
"February 8, 2023",7:20 AM,3v3 $45 GTD 1ND *NO SNIPES* SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$45,
"February 8, 2023",6:20 AM,2v2 $50 GTD 1ND *VAZNEV ONLY* SND,$6,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 1,$50,
"February 8, 2023",3:25 AM,2v2 $100 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 1,$100,
"February 8, 2023",3:22 AM,2v2 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$16,
"February 8, 2023",2:53 AM,4v4 VARIANT,$5,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,5,Best of 3,$84,
"February 8, 2023",2:00 AM,2v2 $250 PRESTIGE SND,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,24,Best of 3,$200,
"February 8, 2023",1:52 AM,1v1 $50 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,4,Best of 1,$50,
"February 8, 2023",1:27 AM,3v3 $60 GTD 1ND *NO SNIPES* SND,$5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,5,Best of 1,$60,
"February 8, 2023",12:22 AM,4v4 *DOLLAR ENTRY* 1ND HP,$1,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,12,Best of 1,$32,
"February 7, 2023",11:52 PM,2v2 $100 GTD 1ND NOV/AM KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 1,$100,
"February 7, 2023",10:45 PM,2v2 $20 FE 1ND KILL RACE,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,12,Best of 1,$20,
"February 7, 2023",10:10 PM,2v2 $10 FE 1ND SND,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,25,Best of 1,$10,
"February 7, 2023",9:45 PM,1v1 $73 GTD 1ND *NO PREVIOUS WINNERS* KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,12,Best of 1,$73,
"February 7, 2023",8:50 AM,1v1 *SCAR ONLY* 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,3,Best of 1,$9,
"February 7, 2023",8:28 AM,2v2 $40 GTD 1ND AR/SMG SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 1,$40,
"February 7, 2023",5:25 AM,3v3 $90 GTD 1ND SND,$7.5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,6,Best of 1,$90,
"February 7, 2023",4:32 AM,2v2 $50 GTD 1ND SND,$6,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$50,
"February 7, 2023",3:25 AM,3v3 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,4,Best of 1,$33,
"February 7, 2023",3:22 AM,2v2 $100 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,8,Best of 1,$100,
"February 7, 2023",2:55 AM,4v4 *NO 2023 WINNERS* VARIANT,$6,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,8,Best of 3,$152,
"February 7, 2023",2:22 AM,2v2 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$28,
"February 7, 2023",1:52 AM,1v1 $50 GTD 1ND KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,9,Best of 1,$50,
"February 7, 2023",1:22 AM,3v3 $72 GTD 1ND SND,$5,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,5,Best of 1,$72,
"February 7, 2023",12:20 AM,4v4 HP,$5,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,5,Best of 3,$72,
"February 6, 2023",11:56 PM,2v2 $146 GTD 1ND NOV/AM KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,12,Best of 1,$146,
"February 6, 2023",11:23 PM,2v2 $50 GTD AR/SMG SND,$7,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 3,$50,
"February 6, 2023",10:15 PM,2v2 $10 FE 1ND SND,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,27,Best of 1,$10,
"February 6, 2023",9:56 PM,1v1 $50 GTD 1ND *NO PREVIOUS WINNERS* KILL RACE,$8,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,6,Best of 1,$50,
"February 6, 2023",9:55 PM,3v3 *NO SNIPES* SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,4,Best of 3,$42,
"February 6, 2023",8:56 PM,1v1 $10 GTD CONSOLE SND,$5,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,2,Best of 3,$10,
"February 6, 2023",8:52 PM,2v2 *VAZNEZ ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 3,$14,
